ph,temperature,turbidity,dissolved_oxygen,ammonia,label
8.28,26.5,16.78,5.48,0.028,ROHU
8.11,25.91,30.82,5.32,0.017,CARP
7.44,25.98,38.05,3.28,0.042,TILAPIA
7.55,30.03,18.14,6.19,0.019,SHRIMP
6.07,25.08,91.91,4.27,0.053,CATFISH
7.86,18.54,26.83,6.59,0.032,CARP
6.85,12.66,9.01,9.2,0.001,TROUT
8.08,27.19,38.85,3.66,0.002,CATFISH
8.48,9.25,1.75,8.05,0.001,SALMON
7.66,12.96,4.33,10.9,0.009,SALMON
7.95,29.55,39.2,5.15,0.048,ROHU
7.06,26.5,24.7,7.24,0.047,CARP
7.56,21.16,23.98,6.58,0.024,ROHU
8.74,31.65,39.22,5.16,0.048,TILAPIA
7.25,14.02,2.1,10.81,0.007,SALMON
7.17,24.81,29.48,6.55,0.006,ROHU
8.33,23.7,17.75,7.4,0.038,CARP
8.25,24.01,37.82,6.08,0.047,ROHU
7.23,14.79,3.69,10.32,0.003,SALMON
6.5,27.59,70.05,2.97,0.079,CATFISH
6.61,23.95,85.42,4.29,0.038,CATFISH
7.72,23.82,17.23,4.81,0.035,CARP
7.31,22.01,43.3,3.11,0.025,CATFISH
8.06,25.87,15.09,5.47,0.015,SHRIMP
7.84,12.93,3.16,9.95,0.009,SALMON
8.45,22.22,31.17,4.55,0.048,ROHU
7.03,25.54,61.38,4.64,0.077,CATFISH
7.25,22.22,38.42,6.28,0.021,CARP
7.38,15.79,4.07,7.69,0.006,TROUT
6.54,10.47,3.18,9.11,0.009,SALMON
7.1,26.54,27.67,5.04,0.017,CARP
8.02,22.68,21.87,7.12,0.004,CARP
7.95,27.01,18.91,7.33,0.004,SHRIMP
7.64,26.51,36.14,7.18,0.042,ROHU
7.06,23.85,34.15,5.58,0.029,CARP
6.84,9.96,0.55,9.5,0.008,SALMON
6.4,22.19,56.2,3.57,0.04,CATFISH
8.59,27.31,35.34,5.66,0.037,TILAPIA
8.99,30.45,28.25,5.99,0.026,TILAPIA
7.87,26.49,16.82,6.35,0.036,ROHU
6.94,10.07,1.33,10.55,0.006,SALMON
8.19,28.65,54.18,4.97,0.005,CATFISH
8.09,23.04,43.58,6.82,0.018,ROHU
6.95,26.66,73.51,4.03,0.051,CATFISH
8.98,26.3,25.31,3.9,0.032,TILAPIA
7.64,29.55,29.65,7.09,0.002,ROHU
7.74,26.9,65.87,5.26,0.047,CATFISH
7.94,24.86,28.55,5.8,0.023,TILAPIA
8.14,22.67,26.54,4.92,0.004,ROHU
7.43,26.25,20.24,3.3,0.049,TILAPIA
7.63,30.81,11.41,6.21,0.005,SHRIMP
7.62,26.41,29.2,5.38,0.005,CARP
8.32,21.19,34.57,4.52,0.032,ROHU
7.54,10.61,0.92,9.89,0.009,TROUT
7.6,16.64,0.68,7.97,0.008,TROUT
7.16,25.71,60.4,4.92,0.021,CATFISH
7.58,22.31,13.13,5.62,0.039,CARP
8.37,27.76,47.0,4.41,0.042,TILAPIA
8.0,30.07,11.51,7.97,0.012,SHRIMP
7.24,24.09,34.42,5.31,0.026,TILAPIA
7.65,26.03,10.35,5.56,0.01,SHRIMP
8.42,29.42,5.8,7.6,0.019,SHRIMP
7.98,26.57,22.67,6.6,0.043,ROHU
7.66,27.27,33.83,7.13,0.018,CARP
7.89,27.39,38.91,4.45,0.008,TILAPIA
7.9,15.1,9.41,8.75,0.001,TROUT
8.09,25.3,30.94,7.27,0.044,CARP
7.24,11.19,3.54,8.99,0.006,TROUT
7.55,12.79,7.48,9.78,0.006,TROUT
6.73,25.32,40.62,4.35,0.048,TILAPIA
8.48,22.46,28.21,7.15,0.012,ROHU
7.54,29.18,37.85,5.28,0.047,ROHU
6.68,26.37,40.82,3.63,0.071,CATFISH
8.37,26.03,5.35,6.59,0.004,SHRIMP
7.99,30.95,14.54,7.42,0.013,SHRIMP
8.03,27.58,11.84,7.65,0.014,SHRIMP
8.27,14.19,2.3,10.1,0.002,SALMON
6.59,12.82,6.48,9.45,0.01,TROUT
6.6,14.42,0.06,8.84,0.004,SALMON
7.83,22.62,17.66,4.35,0.007,CARP
8.05,12.08,2.11,9.23,0.01,SALMON
8.0,24.87,31.23,7.56,0.02,CARP
7.49,28.42,31.83,5.33,0.041,TILAPIA
7.16,12.13,2.5,7.71,0.008,TROUT
7.84,24.64,40.04,6.51,0.047,TILAPIA
7.41,30.45,22.38,6.58,0.027,TILAPIA
8.22,28.38,15.5,6.92,0.002,SHRIMP
8.05,20.45,35.72,7.53,0.018,CARP
8.18,30.71,18.74,6.93,0.003,SHRIMP
8.46,22.83,61.52,4.42,0.009,CATFISH
7.84,31.7,11.11,6.65,0.045,TILAPIA
6.94,25.93,58.25,5.82,0.052,CATFISH
7.28,24.39,12.94,7.03,0.036,CARP
7.13,28.77,31.17,7.26,0.022,ROHU
6.71,10.13,2.04,10.83,0.003,SALMON
7.97,20.44,24.71,5.84,0.027,CARP
7.95,21.34,25.71,4.74,0.029,ROHU
8.4,30.61,14.91,5.91,0.013,SHRIMP
7.02,28.32,42.5,6.1,0.006,ROHU
8.39,27.31,6.83,5.04,0.008,SHRIMP
7.99,24.86,63.75,3.32,0.075,CATFISH
8.2,25.99,16.27,5.54,0.011,SHRIMP
7.23,24.24,36.38,4.38,0.048,CARP
8.15,23.33,29.83,6.82,0.01,ROHU
7.75,17.91,4.44,8.11,0.007,TROUT
8.18,11.93,2.98,10.03,0.008,SALMON
7.98,24.57,18.45,5.24,0.011,ROHU
7.15,20.04,35.61,6.29,0.014,ROHU
7.81,20.38,37.83,6.8,0.048,CARP
8.12,21.17,31.13,6.23,0.009,ROHU
8.32,29.63,10.5,6.49,0.013,SHRIMP
7.75,26.5,18.25,5.99,0.011,SHRIMP
6.97,11.47,3.81,9.67,0.006,SALMON
8.05,28.3,88.63,3.47,0.045,CATFISH
8.18,20.16,39.34,7.87,0.001,CARP
7.01,27.67,27.5,5.44,0.036,ROHU
8.19,30.77,35.25,4.24,0.0,TILAPIA
7.69,27.67,32.75,4.31,0.041,CATFISH
7.47,20.3,31.92,4.8,0.012,CARP
7.23,20.07,18.23,5.57,0.038,ROHU
8.24,26.64,54.6,4.3,0.026,CATFISH
7.54,22.64,93.75,4.11,0.02,CATFISH
7.36,26.78,15.6,6.49,0.003,CARP
8.18,26.49,15.02,6.18,0.018,SHRIMP
7.21,24.53,25.24,3.59,0.042,TILAPIA
8.68,24.88,19.36,5.98,0.023,TILAPIA
7.39,24.82,99.94,3.5,0.005,CATFISH
7.07,25.54,16.21,7.2,0.021,ROHU
8.04,30.12,19.59,7.26,0.015,SHRIMP
6.56,23.38,82.36,4.72,0.087,CATFISH
8.14,26.51,40.88,6.76,0.027,TILAPIA
7.5,12.76,8.58,8.21,0.0,TROUT
7.8,28.49,62.05,5.72,0.074,CATFISH
6.45,22.06,98.75,4.7,0.048,CATFISH
7.04,27.41,34.55,5.67,0.017,TILAPIA
7.02,28.24,42.69,5.85,0.028,ROHU
8.31,22.41,37.33,5.03,0.033,ROHU
6.97,14.6,4.0,7.75,0.0,TROUT
6.76,31.5,36.88,3.44,0.043,TILAPIA
7.42,26.25,32.15,6.49,0.045,CARP
7.06,8.88,1.33,9.35,0.004,SALMON
8.36,25.03,87.64,2.74,0.055,CATFISH
7.73,16.22,5.59,7.66,0.009,TROUT
7.87,22.67,68.23,5.55,0.058,CATFISH
7.73,27.71,14.42,7.12,0.016,SHRIMP
8.34,29.87,7.9,7.69,0.011,SHRIMP
8.42,22.04,44.74,6.6,0.031,ROHU
6.77,8.88,4.33,9.3,0.006,SALMON
6.85,12.51,6.28,8.31,0.01,TROUT
8.02,18.95,26.25,7.41,0.003,CARP
7.76,27.85,43.46,5.15,0.029,ROHU
7.98,9.07,2.97,10.16,0.008,SALMON
7.56,27.92,11.33,5.92,0.019,SHRIMP
7.02,26.94,42.27,6.89,0.031,ROHU
7.74,29.15,34.94,6.13,0.036,ROHU
7.28,8.31,1.81,8.01,0.003,SALMON
7.3,19.32,36.64,6.84,0.002,CARP
8.4,30.7,17.45,5.24,0.012,SHRIMP
8.5,26.11,34.94,6.48,0.036,CARP
8.25,30.15,10.84,6.74,0.004,SHRIMP
7.49,26.55,33.41,6.63,0.04,CARP
7.34,19.02,19.69,4.94,0.038,CARP
6.71,25.94,89.04,4.28,0.018,CATFISH
6.66,28.63,26.52,5.4,0.043,TILAPIA
8.04,26.46,23.36,4.96,0.04,CARP
7.52,20.31,11.17,7.63,0.012,CARP
8.13,26.9,6.0,7.68,0.02,SHRIMP
8.43,27.45,9.63,5.38,0.019,SHRIMP
8.09,27.31,38.79,5.07,0.039,CARP
7.4,24.54,16.62,3.51,0.022,TILAPIA
6.53,13.43,6.17,8.14,0.005,TROUT
8.49,25.39,15.02,6.04,0.01,SHRIMP
8.46,25.75,10.3,7.74,0.043,CARP
8.13,28.44,10.02,3.5,0.042,TILAPIA
7.9,21.09,26.7,6.11,0.025,CARP
7.58,28.82,58.35,5.07,0.067,CATFISH
7.77,16.54,4.6,9.07,0.001,TROUT
7.97,27.14,6.29,5.54,0.006,SHRIMP
7.72,27.47,46.54,5.83,0.035,TILAPIA
7.99,18.91,24.33,7.31,0.037,CARP
7.73,30.86,9.28,5.15,0.01,SHRIMP
7.97,26.51,71.73,4.78,0.052,CATFISH
8.49,23.79,37.82,7.67,0.014,CARP
6.68,17.23,6.36,9.76,0.008,TROUT
7.16,27.55,22.64,6.59,0.045,CARP
7.85,24.88,37.06,5.55,0.031,ROHU
6.09,22.53,61.55,3.59,0.082,CATFISH
7.35,23.03,28.72,6.74,0.001,ROHU
6.32,22.13,31.85,4.44,0.049,CATFISH
7.6,24.85,46.62,3.27,0.004,CATFISH
8.35,25.07,43.74,6.06,0.029,ROHU
7.0,11.42,1.11,9.82,0.009,TROUT
7.16,28.83,59.08,5.44,0.096,CATFISH
7.82,12.43,0.03,7.25,0.007,TROUT
7.54,13.0,7.76,9.87,0.007,TROUT
7.83,25.93,51.94,5.69,0.005,CATFISH
8.0,18.92,24.55,4.23,0.022,CARP
7.87,10.22,3.55,8.54,0.008,SALMON
8.07,13.64,0.15,8.1,0.009,SALMON
7.1,12.28,2.48,9.31,0.007,TROUT
8.81,26.41,18.71,5.1,0.01,TILAPIA
7.5,21.13,10.17,5.95,0.045,CARP
7.28,30.67,12.29,3.51,0.015,TILAPIA
6.75,28.6,42.56,3.4,0.017,TILAPIA
6.93,16.29,6.87,7.63,0.008,TROUT
7.82,12.2,1.34,7.31,0.004,TROUT
7.91,23.55,44.99,7.35,0.005,ROHU
7.03,12.68,3.63,10.88,0.008,SALMON
7.95,9.17,3.77,10.02,0.01,SALMON
7.47,25.22,43.69,4.65,0.035,ROHU
8.39,24.96,46.95,6.85,0.012,TILAPIA
6.77,22.07,55.95,3.06,0.072,CATFISH
8.5,24.57,35.55,5.53,0.043,ROHU
7.17,22.21,32.37,5.27,0.017,ROHU
7.15,24.45,61.85,3.5,0.08,CATFISH
7.47,10.68,3.48,9.79,0.001,SALMON
6.66,26.98,86.92,2.72,0.011,CATFISH
6.77,8.74,2.2,9.31,0.01,SALMON
8.03,29.43,69.23,2.98,0.073,CATFISH
7.01,14.52,4.69,8.12,0.005,TROUT
8.21,22.95,37.09,4.89,0.006,CARP
7.65,20.55,38.25,6.65,0.02,ROHU
7.74,30.3,15.21,6.43,0.024,TILAPIA
7.14,22.81,40.81,4.97,0.019,ROHU
8.39,27.5,16.24,5.7,0.017,SHRIMP
7.93,29.08,41.15,5.65,0.042,TILAPIA
6.73,17.28,4.93,9.67,0.007,TROUT
7.07,29.2,98.07,3.77,0.022,CATFISH
8.26,26.71,23.51,6.17,0.037,CARP
8.11,26.88,57.02,4.65,0.086,CATFISH
8.37,25.53,11.25,5.77,0.018,SHRIMP
7.82,26.84,25.97,5.13,0.02,ROHU
6.6,27.72,15.04,4.39,0.014,TILAPIA
7.31,11.67,6.25,7.33,0.005,TROUT
7.79,24.43,15.83,6.58,0.009,TILAPIA
6.9,13.26,5.38,9.27,0.008,TROUT
7.41,22.92,20.67,4.31,0.018,CARP
8.23,23.18,11.38,7.76,0.015,CARP
8.67,26.19,13.52,6.2,0.043,TILAPIA
7.12,28.27,35.41,3.91,0.005,TILAPIA
8.32,27.81,21.87,7.11,0.008,CARP
8.41,25.76,27.68,6.19,0.0,ROHU
7.04,13.01,1.1,9.95,0.006,TROUT
7.9,16.82,9.55,7.29,0.01,TROUT
6.81,15.68,9.09,7.01,0.006,TROUT
7.05,24.65,48.2,5.93,0.026,TILAPIA
7.39,24.53,17.82,5.4,0.023,CARP
7.3,27.07,34.1,3.51,0.037,TILAPIA
7.18,12.46,4.2,9.2,0.004,TROUT
8.1,24.36,33.18,7.48,0.016,CARP
7.78,27.08,12.81,6.3,0.012,SHRIMP
8.15,25.58,19.97,6.85,0.008,SHRIMP
7.52,10.88,3.68,10.06,0.007,SALMON
8.02,22.65,10.2,4.29,0.035,CARP
8.97,30.28,22.85,4.43,0.036,TILAPIA
7.16,24.74,89.78,5.27,0.033,CATFISH
7.75,19.15,26.33,6.84,0.005,CARP
7.55,8.32,2.5,9.14,0.007,SALMON
8.16,25.15,51.76,5.33,0.021,CATFISH
7.75,16.79,0.09,8.5,0.004,TROUT
8.66,28.88,49.31,6.4,0.043,TILAPIA
7.74,17.13,0.58,8.53,0.004,TROUT
7.68,25.33,24.93,6.95,0.05,TILAPIA
7.37,25.94,34.66,6.15,0.022,TILAPIA
7.07,10.74,5.17,7.01,0.003,TROUT
6.26,29.43,86.22,4.25,0.031,CATFISH
7.38,10.0,4.72,7.8,0.003,TROUT
7.44,21.17,20.31,6.35,0.008,ROHU
7.05,31.32,17.12,5.31,0.008,TILAPIA
7.77,28.13,25.12,3.22,0.01,TILAPIA
8.03,26.9,40.77,5.77,0.005,TILAPIA
7.27,19.74,32.01,4.73,0.006,CARP
7.57,26.95,87.43,5.17,0.088,CATFISH
7.57,13.24,7.6,8.92,0.004,TROUT
7.64,28.25,71.47,4.59,0.024,CATFISH
8.48,23.97,11.19,6.02,0.012,CARP
7.81,17.68,6.13,9.68,0.003,TROUT
7.25,27.66,26.86,7.0,0.044,ROHU
8.81,28.54,16.64,4.75,0.007,TILAPIA
7.98,25.55,26.88,6.57,0.011,CARP
7.69,22.28,22.31,5.24,0.015,CARP
7.53,30.44,16.99,5.4,0.0,SHRIMP
6.57,14.06,8.51,7.01,0.003,TROUT
7.97,25.53,13.42,6.08,0.025,CARP
7.76,29.88,17.09,5.77,0.027,TILAPIA
6.82,14.94,9.16,9.25,0.006,TROUT
7.6,25.41,29.68,6.56,0.045,CARP
8.5,25.6,18.39,7.05,0.018,CARP
7.79,27.83,39.73,7.2,0.024,CARP
7.08,26.64,47.53,6.93,0.023,TILAPIA
7.9,28.22,6.87,6.11,0.002,SHRIMP
7.06,22.25,28.77,4.72,0.024,ROHU
8.04,29.92,5.29,5.31,0.005,SHRIMP
7.86,16.7,9.98,8.51,0.007,TROUT
6.71,10.43,1.54,9.08,0.003,SALMON
6.43,28.77,90.08,4.22,0.011,CATFISH
7.35,10.53,9.14,8.36,0.003,TROUT
7.3,22.49,13.11,4.28,0.035,CARP
8.46,20.7,16.05,6.24,0.01,CARP
7.32,30.76,18.99,4.46,0.046,TILAPIA
8.04,9.67,4.12,8.05,0.008,SALMON
8.24,23.79,92.69,4.95,0.043,CATFISH
7.79,29.86,42.74,4.18,0.088,CATFISH
8.31,22.34,33.86,7.48,0.042,CARP
7.72,27.63,7.62,5.54,0.01,SHRIMP
6.29,27.67,94.92,4.12,0.097,CATFISH
6.94,14.93,0.62,9.36,0.001,TROUT
6.88,12.31,0.2,8.67,0.003,TROUT
8.25,27.14,9.42,7.14,0.005,SHRIMP
7.52,18.94,39.37,6.9,0.014,CARP
7.6,27.62,9.47,6.09,0.015,SHRIMP
7.68,27.49,32.8,5.17,0.031,CARP
8.04,26.94,26.04,6.67,0.028,ROHU
8.1,21.32,31.9,4.65,0.049,CARP
7.78,27.64,42.27,6.86,0.011,ROHU
7.83,30.87,6.81,6.79,0.001,SHRIMP
8.1,20.5,43.89,6.9,0.027,ROHU
8.41,30.22,6.6,5.7,0.012,SHRIMP
6.81,31.26,21.07,5.67,0.035,TILAPIA
8.46,27.68,14.43,6.2,0.029,CARP
7.53,22.67,22.36,7.44,0.013,ROHU
8.44,28.04,37.78,4.57,0.031,ROHU
7.82,12.35,4.26,8.77,0.0,SALMON
7.87,26.93,18.3,7.56,0.006,SHRIMP
8.22,12.26,1.57,9.83,0.001,SALMON
7.6,18.77,34.88,5.85,0.029,CARP
7.77,24.07,59.71,5.41,0.085,CATFISH
7.66,22.26,17.93,5.81,0.033,ROHU
8.79,26.43,10.55,3.11,0.002,TILAPIA
6.61,28.23,23.17,3.42,0.022,TILAPIA
8.5,27.55,32.0,4.32,0.034,TILAPIA
7.28,29.02,23.65,4.63,0.036,TILAPIA
7.68,15.82,7.53,7.58,0.009,TROUT
8.22,26.94,29.35,5.57,0.03,CARP
8.06,27.82,10.97,5.63,0.019,SHRIMP
6.96,12.1,4.99,9.49,0.008,SALMON
8.2,28.39,19.5,7.2,0.007,SHRIMP
8.49,27.28,6.16,5.73,0.019,SHRIMP
6.81,12.94,0.34,8.02,0.0,SALMON
7.95,20.33,13.73,7.46,0.031,CARP
6.51,30.34,19.72,4.2,0.017,TILAPIA
6.59,9.64,0.3,10.42,0.0,SALMON
7.4,18.92,26.23,4.74,0.021,CARP
8.01,29.01,35.53,4.7,0.01,ROHU
7.79,29.83,34.68,4.89,0.044,ROHU
6.83,10.7,4.5,8.1,0.006,SALMON
7.48,20.56,32.01,6.29,0.003,CARP
7.61,16.05,5.99,7.33,0.009,TROUT
7.2,22.48,42.2,6.59,0.015,ROHU
6.43,24.55,98.78,5.23,0.084,CATFISH
7.37,24.08,32.36,6.15,0.036,CARP
7.16,26.69,22.5,3.31,0.04,TILAPIA
7.85,24.76,35.91,4.21,0.046,CARP
6.9,12.83,9.31,7.22,0.005,TROUT
7.96,22.53,35.33,5.03,0.014,CARP
6.87,25.45,45.07,5.43,0.04,TILAPIA
6.71,11.67,0.98,8.64,0.003,SALMON
7.66,21.41,23.88,6.55,0.022,CARP
8.32,29.76,16.97,5.05,0.015,SHRIMP
7.24,23.45,27.61,6.61,0.038,ROHU
8.29,30.5,18.82,6.59,0.001,SHRIMP
8.35,24.7,56.43,4.14,0.027,CATFISH
6.76,28.75,84.8,4.53,0.025,CATFISH
8.31,22.03,21.24,6.57,0.046,CARP
8.25,29.09,31.9,6.86,0.031,ROHU
6.05,26.42,39.18,5.53,0.098,CATFISH
7.67,21.48,29.14,6.43,0.017,CARP
7.97,25.55,36.56,7.32,0.039,ROHU
7.42,10.42,3.0,10.77,0.006,SALMON
7.74,27.6,5.77,7.06,0.015,SHRIMP
7.74,25.43,40.01,6.53,0.046,ROHU
8.06,29.79,37.02,3.38,0.039,TILAPIA
6.88,10.83,2.0,8.83,0.007,SALMON
8.08,28.31,13.78,5.21,0.006,SHRIMP
7.2,29.22,57.24,5.24,0.029,CATFISH
7.72,25.3,28.99,6.39,0.022,TILAPIA
6.15,23.33,84.06,5.72,0.017,CATFISH
8.95,28.46,11.43,3.85,0.022,TILAPIA
7.67,11.62,7.6,8.88,0.003,TROUT
6.59,23.76,34.32,3.88,0.01,CATFISH
7.91,29.24,12.59,6.59,0.009,SHRIMP
8.3,29.35,17.08,4.48,0.046,TILAPIA
8.29,26.92,50.92,4.88,0.043,CATFISH
7.6,10.25,6.32,8.89,0.001,TROUT
7.53,25.73,17.58,5.66,0.017,SHRIMP
6.87,12.56,3.87,10.65,0.009,SALMON
6.21,27.48,97.11,3.81,0.033,CATFISH
8.05,28.58,8.81,6.21,0.012,SHRIMP
7.88,16.45,4.48,8.59,0.006,TROUT
7.36,23.65,12.73,5.55,0.011,CARP
7.88,10.0,3.87,8.03,0.004,SALMON
6.85,11.07,7.28,8.71,0.001,TROUT
7.82,23.98,51.07,3.34,0.024,CATFISH
8.33,28.9,24.09,3.53,0.032,TILAPIA
6.94,28.63,37.92,3.02,0.022,TILAPIA
6.59,25.35,57.33,4.44,0.009,CATFISH
7.73,23.36,44.09,5.64,0.046,ROHU
6.57,11.76,1.77,10.08,0.003,SALMON
8.16,11.41,1.03,9.53,0.005,SALMON
8.23,23.22,33.01,4.37,0.097,CATFISH
7.18,11.0,5.25,8.75,0.002,TROUT
7.19,25.02,34.88,4.66,0.04,ROHU
8.08,19.08,28.61,6.23,0.008,CARP
7.62,24.46,14.59,7.66,0.039,CARP
8.26,26.42,42.24,3.36,0.018,CATFISH
8.03,19.07,23.77,6.54,0.001,CARP
7.14,13.47,4.91,9.96,0.006,TROUT
7.2,24.15,19.38,4.57,0.028,ROHU
6.84,24.06,47.65,4.26,0.087,CATFISH
7.55,13.96,0.2,7.85,0.009,TROUT
8.2,24.02,35.31,5.01,0.037,ROHU
6.73,25.47,28.52,5.55,0.032,TILAPIA
8.74,26.41,10.52,5.78,0.009,TILAPIA
7.75,27.46,39.27,6.69,0.024,ROHU
7.11,15.06,1.04,8.91,0.005,TROUT
7.44,10.11,5.74,8.92,0.008,TROUT
8.35,22.0,21.66,6.49,0.005,ROHU
8.09,25.66,11.04,7.65,0.012,SHRIMP
7.6,12.74,0.42,8.77,0.001,TROUT
7.02,18.51,37.35,5.43,0.015,CARP
7.99,31.58,34.25,6.25,0.023,TILAPIA
7.6,27.02,23.91,6.01,0.046,CARP
6.82,26.19,37.61,5.46,0.048,CATFISH
7.67,25.29,39.81,5.74,0.012,ROHU
7.84,26.84,62.06,5.97,0.019,CATFISH
8.96,25.54,49.99,3.3,0.036,TILAPIA
7.29,11.44,3.15,9.27,0.01,SALMON
8.14,28.88,7.93,5.76,0.01,SHRIMP
8.39,28.62,86.73,2.76,0.094,CATFISH
7.51,12.11,2.77,9.85,0.005,SALMON
7.94,26.62,5.77,6.54,0.015,SHRIMP
7.51,27.32,44.74,3.86,0.009,TILAPIA
8.41,29.31,5.53,6.74,0.01,SHRIMP
7.17,26.87,23.32,7.96,0.014,CARP
7.33,27.17,27.91,5.94,0.02,TILAPIA
7.78,30.82,5.58,6.49,0.013,SHRIMP
7.93,30.6,7.68,6.2,0.02,SHRIMP
7.33,27.26,63.47,3.47,0.031,CATFISH
8.02,22.12,29.35,6.15,0.033,ROHU
7.11,11.78,3.47,9.63,0.009,TROUT
7.12,28.34,36.4,6.52,0.017,TILAPIA
6.71,29.71,59.11,5.77,0.01,CATFISH
7.64,25.07,23.75,4.2,0.038,CARP
8.45,8.37,0.96,9.92,0.009,SALMON
6.85,13.26,1.71,9.53,0.008,TROUT
8.53,27.47,32.77,4.69,0.026,TILAPIA
6.94,11.09,2.31,8.56,0.001,TROUT
8.35,22.86,30.09,6.31,0.017,ROHU
8.31,28.37,71.82,5.19,0.045,CATFISH
7.9,24.96,29.56,6.69,0.032,CARP
7.83,28.76,14.86,5.41,0.002,TILAPIA
8.23,9.36,2.97,9.81,0.008,SALMON
7.05,15.97,5.75,8.55,0.003,TROUT
7.35,14.29,3.01,9.61,0.008,SALMON
6.7,10.87,3.51,9.66,0.007,TROUT
7.85,29.03,12.78,6.61,0.006,SHRIMP
7.11,16.16,5.3,7.87,0.001,TROUT
7.24,8.46,4.57,9.16,0.007,SALMON
8.38,28.03,19.12,5.44,0.006,SHRIMP
8.11,26.88,15.77,6.3,0.042,ROHU
8.17,20.71,31.91,4.8,0.009,ROHU
8.5,11.5,4.68,9.03,0.007,SALMON
7.74,24.5,37.44,7.24,0.015,ROHU
8.27,27.05,12.51,5.15,0.011,SHRIMP
7.19,24.43,99.61,3.15,0.038,CATFISH
7.16,8.03,2.61,9.5,0.008,SALMON
6.59,8.84,4.72,8.39,0.007,SALMON
7.02,27.27,80.93,5.76,0.026,CATFISH
6.88,16.2,5.49,8.6,0.005,TROUT
7.17,13.01,1.17,10.05,0.005,SALMON
7.66,8.56,3.62,9.96,0.005,SALMON
6.83,30.31,36.23,4.14,0.02,TILAPIA
7.62,25.56,18.86,6.9,0.023,CARP
8.1,24.14,41.6,6.26,0.019,TILAPIA
8.53,31.27,13.01,5.32,0.047,TILAPIA
6.4,27.88,73.61,3.56,0.044,CATFISH
8.07,10.84,1.18,10.66,0.008,SALMON
8.02,29.24,19.83,5.52,0.003,SHRIMP
6.75,10.54,2.15,8.16,0.006,SALMON
7.23,19.47,30.63,5.94,0.042,CARP
6.93,15.95,8.86,7.37,0.006,TROUT
7.56,28.58,11.51,3.99,0.023,TILAPIA
6.93,15.66,3.98,7.2,0.004,TROUT
8.48,11.03,2.93,9.78,0.003,SALMON
8.46,28.65,11.15,6.17,0.0,SHRIMP
6.55,12.56,2.39,10.9,0.001,SALMON
8.17,22.34,33.68,6.53,0.002,CARP
8.0,17.73,3.65,9.38,0.002,TROUT
8.16,27.1,51.15,4.75,0.081,CATFISH
7.81,12.44,2.89,7.92,0.005,TROUT
8.25,26.15,36.78,4.41,0.036,TILAPIA
7.72,29.41,11.31,7.47,0.019,SHRIMP
7.7,27.34,27.7,6.64,0.001,CARP
7.29,29.78,32.11,3.33,0.048,TILAPIA
7.03,11.97,6.28,7.13,0.005,TROUT
7.55,30.75,9.85,7.1,0.012,SHRIMP
7.45,24.42,92.06,5.72,0.064,CATFISH
8.54,28.7,28.66,6.01,0.029,TILAPIA
7.01,27.87,33.01,5.45,0.049,CARP
8.32,28.97,40.51,3.58,0.041,TILAPIA
8.42,22.27,19.75,6.56,0.034,CARP
6.78,28.43,27.94,5.42,0.01,TILAPIA
8.03,25.77,25.96,5.87,0.034,TILAPIA
7.81,28.47,26.31,4.42,0.049,TILAPIA
7.61,31.38,30.26,6.76,0.038,TILAPIA
8.79,31.89,40.85,5.49,0.007,TILAPIA
7.3,12.54,4.91,8.58,0.004,SALMON
7.19,24.52,30.15,5.3,0.047,CARP
7.6,14.8,3.28,8.24,0.005,TROUT
7.74,30.92,34.36,5.18,0.048,TILAPIA
8.24,27.5,15.87,6.33,0.014,SHRIMP
7.73,27.19,75.99,3.61,0.053,CATFISH
7.04,13.43,7.12,9.1,0.01,TROUT
7.61,27.08,22.47,4.36,0.01,CARP
8.47,10.22,3.7,9.6,0.004,SALMON
8.19,10.65,3.67,9.75,0.0,SALMON
8.28,27.68,26.29,5.15,0.005,ROHU
7.6,25.98,12.9,4.72,0.03,TILAPIA
7.01,22.18,20.51,7.73,0.049,CARP
6.91,11.07,8.39,9.09,0.004,TROUT
6.92,30.81,30.1,4.19,0.02,TILAPIA
7.66,14.99,2.92,9.8,0.005,TROUT
8.76,24.91,41.87,5.23,0.043,TILAPIA
6.56,9.59,0.52,8.14,0.001,SALMON
7.48,23.68,89.54,5.54,0.08,CATFISH
8.11,26.94,23.55,6.18,0.03,ROHU
8.46,25.5,52.19,4.7,0.028,CATFISH
7.62,25.93,10.49,5.62,0.019,SHRIMP
6.6,16.06,1.8,7.24,0.002,TROUT
6.61,30.6,22.11,4.55,0.049,TILAPIA
8.29,19.99,18.39,4.22,0.024,CARP
8.32,23.08,44.48,6.44,0.031,ROHU
6.09,24.75,52.69,2.81,0.03,CATFISH
8.6,28.0,26.14,6.18,0.014,TILAPIA
6.98,12.69,8.19,9.39,0.0,TROUT
7.56,25.51,69.29,5.92,0.063,CATFISH
7.8,24.11,23.41,7.22,0.032,CARP
8.38,28.02,11.49,4.58,0.02,TILAPIA
8.02,8.12,2.24,8.04,0.003,SALMON
8.14,27.42,52.39,4.99,0.047,CATFISH
7.37,17.17,1.47,8.35,0.006,TROUT
7.72,12.77,6.13,7.35,0.007,TROUT
7.06,25.97,88.41,4.07,0.055,CATFISH
7.17,27.76,28.23,4.89,0.046,TILAPIA
7.86,14.36,0.9,8.71,0.004,SALMON
7.7,13.94,7.76,8.25,0.002,TROUT
